"","X1","Date","Block","IUCR","Description","Arrest","Domestic","Beat","District","Ward","Year","Latitude","Longitude","date.only","hr","day.of.week","street.type","Primary.Type","Community.Area","FBI.Code","Location.Description"
"3725",3739,2018-05-18 18:30:00,"007XX W GRAND AVE","0890","FROM BUILDING","No","No","1214","012","27",2018,41.891198474,-87.646552268,2018-05-18,"18","Friday","AVE","THEFT","24","06","RESTAURANT"
"3726",3740,2018-11-30 12:00:00,"063XX S ASHLAND AVE","0560","SIMPLE","No","No","0725","007","16",2018,41.778568166,-87.664194983,2018-11-30,"12","Friday","AVE","ASSAULT","67","08A","PARKING LOT/GARAGE(NON.RESID.)"
"3727",3741,2018-05-17 17:16:00,"008XX W DIVISION ST","0810","OVER $500","No","No","1822","018","32",2018,41.903611174,-87.650320449,2018-05-17,"17","Thursday","ST","THEFT","8","06","OTHER"
"3728",3742,2018-10-27 16:54:00,"041XX W NELSON ST","0560","SIMPLE","No","Yes","2523","025","31",2018,41.936308491,-87.730681596,2018-10-27,"16","Saturday","ST","ASSAULT","21","08A","RESIDENTIAL YARD (FRONT/BACK)"
"3729",3743,2018-02-25 12:00:00,"006XX E 51ST ST","0810","OVER $500","No","No","0223","002","4",2018,41.802174904,-87.610798066,2018-02-25,"12","Sunday","ST","THEFT","38","06","STREET"
"3730",3744,2018-11-25 21:37:00,"075XX S BLACKSTONE AVE","1365","TO RESIDENCE","Yes","Yes","0411","004","8",2018,41.757436745,-87.588334702,2018-11-25,"21","Sunday","AVE","CRIMINAL TRESPASS","43","26","APARTMENT"
"3731",3745,2018-10-26 11:44:00,"113XX S HERMOSA AVE","0460","SIMPLE","No","No","2212","022","34",2018,41.687042705,-87.669431373,2018-10-26,"11","Friday","AVE","BATTERY","75","08B","STREET"
"3732",3746,2018-07-25 18:35:00,"001XX N STATE ST","0870","POCKET-PICKING","No","No","0111","001","42",2018,41.885481891,-87.627935689,2018-07-25,"18","Wednesday","ST","THEFT","32","06","CTA STATION"
"3733",3747,2018-03-24 18:30:00,"106XX S AVENUE E","0486","DOMESTIC BATTERY SIMPLE","No","Yes","0432","004","10",2018,41.702248289,-87.529242154,2018-03-24,"18","Saturday","E","BATTERY","52","08B","RESIDENCE"
"3734",3748,2018-05-04 17:20:00,"052XX S TALMAN AVE","2820","TELEPHONE THREAT","No","No","0923","009","14",2018,41.798621441,-87.690274589,2018-05-04,"17","Friday","AVE","OTHER OFFENSE","63","26","APARTMENT"
"3735",3749,2018-11-09 16:07:00,"085XX S KILPATRICK AVE","1154","FINANCIAL IDENTITY THEFT $300 AND UNDER","No","No","0834","008","18",2018,NA,NA,2018-11-09,"16","Friday","AVE","DECEPTIVE PRACTICE","70","11","RESIDENCE"
"3736",3750,2018-02-18 20:28:00,"007XX E 63RD ST","1811","POSS: CANNABIS 30GMS OR LESS","Yes","No","0313","003","20",2018,41.780373703,-87.608087748,2018-02-18,"20","Sunday","ST","NARCOTICS","42","18","SIDEWALK"
"3737",3751,2018-10-07 14:00:00,"019XX W FULLERTON AVE","1310","TO PROPERTY","No","No","1432","014","32",2018,41.925045354,-87.676490684,2018-10-07,"14","Sunday","AVE","CRIMINAL DAMAGE","22","14","STREET"
"3738",3752,2018-05-03 18:44:00,"105XX S STATE ST","1320","TO VEHICLE","No","Yes","0512","005","9",2018,41.702657202,-87.623393566,2018-05-03,"18","Thursday","ST","CRIMINAL DAMAGE","49","14","STREET"
"3739",3753,2018-09-02 02:20:00,"078XX S MORGAN ST","0486","DOMESTIC BATTERY SIMPLE","No","Yes","0621","006","17",2018,41.751935361,-87.648925684,2018-09-02,"2","Sunday","ST","BATTERY","71","08B","APARTMENT"
"3740",3754,2018-07-10 23:30:00,"018XX S PRAIRIE AVE","031A","ARMED: HANDGUN","No","No","0132","001","2",2018,41.857429784,-87.620755641,2018-07-10,"23","Tuesday","AVE","ROBBERY","33","03","SIDEWALK"
"3741",3755,2018-01-19 12:45:00,"005XX E 47TH ST","143B","UNLAWFUL POSS OTHER FIREARM","Yes","No","0221","002","3",2018,41.809436954,-87.613093359,2018-01-19,"12","Friday","ST","WEAPONS VIOLATION","38","15","STREET"
"3742",3756,2018-01-15 13:50:00,"058XX N PULASKI RD","0560","SIMPLE","No","No","1711","017","39",2018,41.987177667,-87.728546845,2018-01-15,"13","Monday","RD","ASSAULT","13","08A","OTHER"
"3743",3757,2018-01-30 01:50:00,"032XX N KENNETH AVE","2820","TELEPHONE THREAT","No","Yes","1731","017","31",2018,41.939531427,-87.738281596,2018-01-30,"1","Tuesday","AVE","OTHER OFFENSE","16","26","APARTMENT"
"3744",3758,2018-10-13 22:00:00,"093XX S LA SALLE ST","0820","$500 AND UNDER","No","No","0634","006","21",2018,41.724650968,-87.627529047,2018-10-13,"22","Saturday","ST","THEFT","49","06","VEHICLE NON-COMMERCIAL"
"3745",3759,2018-05-02 09:30:00,"035XX W 78TH ST","0560","SIMPLE","No","No","0835","008","18",2018,41.75150309,-87.710421153,2018-05-02,"9","Wednesday","ST","ASSAULT","70","08A","RESIDENTIAL YARD (FRONT/BACK)"
"3746",3760,2018-05-21 21:15:00,"021XX S MILLARD AVE","143A","UNLAWFUL POSS OF HANDGUN","No","No","1014","010","24",2018,41.852491274,-87.71624374,2018-05-21,"21","Monday","AVE","WEAPONS VIOLATION","29","15","RESIDENCE"
"3747",3761,2018-06-23 21:38:00,"018XX W PERSHING RD","2820","TELEPHONE THREAT","No","Yes","0912","009","11",2018,41.823281924,-87.671977185,2018-06-23,"21","Saturday","RD","OTHER OFFENSE","59","26","RESIDENCE"
"3748",3762,2018-01-01 17:00:00,"075XX N DAMEN AVE","0910","AUTOMOBILE","No","No","2424","024","49",2018,42.018305,-87.680455698,2018-01-01,"17","Monday","AVE","MOTOR VEHICLE THEFT","1","07","STREET"
"3749",3763,2018-05-24 17:00:00,"024XX S HOMAN AVE","0820","$500 AND UNDER","No","No","1024","010","22",2018,41.847270859,-87.70999215,2018-05-24,"17","Thursday","AVE","THEFT","30","06","RESIDENCE"
"3750",3764,2018-07-10 17:35:00,"063XX S COTTAGE GROVE AVE","0860","RETAIL THEFT","Yes","No","0312","003","20",2018,41.779511964,-87.605912319,2018-07-10,"17","Tuesday","AVE","THEFT","42","06","DEPARTMENT STORE"
"3751",3765,2018-11-23 13:50:00,"011XX N KEYSTONE AVE","1310","TO PROPERTY","No","No","1111","011","37",2018,41.90139334,-87.72749466,2018-11-23,"13","Friday","AVE","CRIMINAL DAMAGE","23","14","RESIDENCE"
"3752",3766,2018-11-04 18:32:00,"009XX W BELMONT AVE","0460","SIMPLE","No","No","1933","019","44",2018,41.93994124,-87.652046309,2018-11-04,"18","Sunday","AVE","BATTERY","6","08B","RESTAURANT"
"3753",3767,2018-12-26 13:28:00,"001XX E PEARSON ST","1150","CREDIT CARD FRAUD","No","No","1833","018","2",2018,41.897596067,-87.623218373,2018-12-26,"13","Wednesday","ST","DECEPTIVE PRACTICE","8","11","HOTEL/MOTEL"
"3754",3768,2018-03-22 20:30:00,"007XX N MICHIGAN AVE","0860","RETAIL THEFT","No","No","1834","018","42",2018,41.895140898,-87.624255632,2018-03-22,"20","Thursday","AVE","THEFT","8","06","SMALL RETAIL STORE"
"3755",3769,2018-02-21 00:05:00,"004XX W 77TH ST","3710","RESIST/OBSTRUCT/DISARM OFFICER","Yes","No","0621","006","17",2018,41.754406578,-87.635914641,2018-02-21,"0","Wednesday","ST","INTERFERENCE WITH PUBLIC OFFICER","69","24","VEHICLE NON-COMMERCIAL"
"3756",3770,2018-04-21 19:32:00,"079XX S DOBSON AVE","1310","TO PROPERTY","No","No","0624","006","8",2018,41.75048339,-87.599101334,2018-04-21,"19","Saturday","AVE","CRIMINAL DAMAGE","44","14","APARTMENT"
"3757",3771,2018-11-08 12:30:00,"013XX W 95TH ST","0460","SIMPLE","No","No","2213","022","21",2018,41.721303358,-87.655873595,2018-11-08,"12","Thursday","ST","BATTERY","73","08B","SCHOOL, PUBLIC, BUILDING"
"3758",3772,2018-05-08 17:52:00,"039XX W WILCOX ST","051A","AGGRAVATED: HANDGUN","No","No","1122","011","28",2018,41.878891251,-87.723998503,2018-05-08,"17","Tuesday","ST","ASSAULT","26","04A","STREET"
"3759",3773,2018-02-23 00:00:00,"071XX S EMERALD AVE","4651","SEX OFFENDER: FAIL REG NEW ADD","Yes","No","0732","007","6",2018,41.764490836,-87.643011792,2018-02-23,"0","Friday","AVE","OTHER OFFENSE","68","26","APARTMENT"
"3760",3774,2018-08-10 19:30:00,"082XX S CHAMPLAIN AVE","0810","OVER $500","No","No","0631","006","6",2018,41.744907503,-87.608695893,2018-08-10,"19","Friday","AVE","THEFT","44","06","STREET"
"3761",3775,2018-06-09 06:00:00,"008XX S KEELER AVE","1310","TO PROPERTY","No","No","1132","011","24",2018,41.870534899,-87.730216699,2018-06-09,"6","Saturday","AVE","CRIMINAL DAMAGE","26","14","RESIDENCE-GARAGE"
"3762",3776,2018-09-08 05:20:00,"015XX W 78TH ST","0486","DOMESTIC BATTERY SIMPLE","No","Yes","0612","006","17",2018,41.752190204,-87.66235443,2018-09-08,"5","Saturday","ST","BATTERY","71","08B","APARTMENT"
"3763",3777,2018-01-22 01:05:00,"080XX S ST LOUIS AVE","0460","SIMPLE","No","No","0834","008","18",2018,41.747634931,-87.70965235,2018-01-22,"1","Monday","AVE","BATTERY","70","08B","VEHICLE NON-COMMERCIAL"
"3764",3778,2018-07-05 09:55:00,"012XX W LOYOLA AVE","0486","DOMESTIC BATTERY SIMPLE","No","Yes","2432","024","40",2018,42.001136868,-87.661345692,2018-07-05,"9","Thursday","AVE","BATTERY","1","08B","CTA STATION"
"3765",3779,2018-09-29 08:00:00,"088XX S EXCHANGE AVE","0820","$500 AND UNDER","No","No","0423","004","10",2018,41.734990948,-87.552762158,2018-09-29,"8","Saturday","AVE","THEFT","46","06","RESIDENCE PORCH/HALLWAY"
"3766",3780,2018-09-13 21:17:00,"039XX W WILCOX ST","2027","POSS: CRACK","Yes","No","1122","011","28",2018,41.878892807,-87.723774494,2018-09-13,"21","Thursday","ST","NARCOTICS","26","18","SCHOOL, PRIVATE, GROUNDS"
"3767",3781,2018-11-23 01:52:00,"064XX S MAY ST","0486","DOMESTIC BATTERY SIMPLE","Yes","No","0724","007","16",2018,41.777167259,-87.65322191,2018-11-23,"1","Friday","ST","BATTERY","68","08B","APARTMENT"
"3768",3782,2018-01-01 17:40:00,"025XX S DRAKE AVE","0460","SIMPLE","No","Yes","1024","010","22",2018,41.845547766,-87.713598251,2018-01-01,"17","Monday","AVE","BATTERY","30","08B","RESIDENTIAL YARD (FRONT/BACK)"
"3769",3783,2018-04-13 21:50:00,"054XX W MONTROSE AVE","1310","TO PROPERTY","No","No","1624","016","38",2018,41.960530303,-87.763183497,2018-04-13,"21","Friday","AVE","CRIMINAL DAMAGE","15","14","APARTMENT"
"3770",3784,2018-02-13 18:00:00,"100XX W OHARE ST","0820","$500 AND UNDER","No","No","1651","016","41",2018,41.976290414,-87.905227221,2018-02-13,"18","Tuesday","ST","THEFT","76","06","CTA TRAIN"
"3771",3785,2018-02-24 04:50:00,"099XX S DR MARTIN LUTHER KING JR DR","1320","TO VEHICLE","No","No","0511","005","6",2018,41.714278436,-87.613969936,2018-02-24,"4","Saturday","DR","CRIMINAL DAMAGE","49","14","DRIVEWAY - RESIDENTIAL"
"3772",3786,2018-08-26 05:40:00,"039XX W CHICAGO AVE","0486","DOMESTIC BATTERY SIMPLE","No","Yes","1112","011","27",2018,41.895383921,-87.724469836,2018-08-26,"5","Sunday","AVE","BATTERY","23","08B","SIDEWALK"
"3773",3787,2018-10-17 14:45:00,"047XX S ASHLAND AVE","0860","RETAIL THEFT","No","No","0933","009","20",2018,41.808018808,-87.664959644,2018-10-17,"14","Wednesday","AVE","THEFT","61","06","SMALL RETAIL STORE"
"3774",3788,2018-10-19 19:00:00,"101XX S SANGAMON ST","4387","VIOLATE ORDER OF PROTECTION","No","Yes","2232","022","34",2018,41.709952456,-87.646562136,2018-10-19,"19","Friday","ST","OTHER OFFENSE","73","26","RESIDENCE"
"3775",3789,2018-10-06 02:00:00,"111XX S VERNON AVE","0420","AGGRAVATED:KNIFE/CUTTING INSTR","No","No","0531","005","9",2018,41.691560324,-87.612125163,2018-10-06,"2","Saturday","AVE","BATTERY","49","04B","RESIDENCE"
"3776",3790,2018-10-03 22:00:00,"100XX S CALUMET AVE","0910","AUTOMOBILE","No","No","0511","005","9",2018,41.712295952,-87.615112772,2018-10-03,"22","Wednesday","AVE","MOTOR VEHICLE THEFT","49","07","STREET"
"3777",3791,2018-03-19 21:20:00,"057XX N SPAULDING AVE","2820","TELEPHONE THREAT","No","Yes","1711","017","40",2018,41.986098191,-87.711409386,2018-03-19,"21","Monday","AVE","OTHER OFFENSE","13","26","RESIDENCE"
"3778",3792,2018-02-08 03:50:00,"025XX W WASHINGTON BLVD","0630","ATTEMPT FORCIBLE ENTRY","No","No","1222","012","2",2018,41.882972196,-87.689833435,2018-02-08,"3","Thursday","BLVD","BURGLARY","28","05","RESIDENCE-GARAGE"
"3779",3793,2018-04-21 09:41:00,"0000X W 112TH ST","2024","POSS: HEROIN(WHITE)","Yes","No","0522","005","34",2018,41.690763152,-87.623817266,2018-04-21,"9","Saturday","ST","NARCOTICS","49","18","STREET"
"3780",3794,2018-11-30 15:00:00,"079XX S WOODLAWN AVE","0460","SIMPLE","No","No","0411","004","8",2018,41.750224063,-87.595461605,2018-11-30,"15","Friday","AVE","BATTERY","45","08B","SIDEWALK"
"3781",3795,2018-11-08 17:10:00,"001XX N STATE ST","1310","TO PROPERTY","No","No","0111","001","42",2018,41.884650262,-87.627915459,2018-11-08,"17","Thursday","ST","CRIMINAL DAMAGE","32","14","SMALL RETAIL STORE"
"3782",3796,2018-11-13 23:35:00,"064XX S MORGAN ST","1310","TO PROPERTY","No","Yes","0723","007","16",2018,41.777145607,-87.64957426,2018-11-13,"23","Tuesday","ST","CRIMINAL DAMAGE","68","14","APARTMENT"
"3783",3797,2018-03-25 17:30:00,"035XX W NORTH AVE","2820","TELEPHONE THREAT","No","Yes","1422","014","26",2018,41.910007135,-87.715579879,2018-03-25,"17","Sunday","AVE","OTHER OFFENSE","23","26","APARTMENT"
"3784",3798,2018-11-15 07:47:00,"066XX S DAMEN AVE","0910","AUTOMOBILE","No","No","0726","007","16",2018,41.773233557,-87.673738009,2018-11-15,"7","Thursday","AVE","MOTOR VEHICLE THEFT","67","07","STREET"
"3785",3799,2018-01-08 09:10:00,"009XX E 87TH ST","0810","OVER $500","No","Yes","0632","006","8",2018,41.736704314,-87.600833779,2018-01-08,"9","Monday","ST","THEFT","44","06","RESIDENCE"
"3786",3800,2018-05-07 19:00:00,"038XX W 70TH PL","0820","$500 AND UNDER","No","No","0833","008","13",2018,41.765055457,-87.718757447,2018-05-07,"19","Monday","PL","THEFT","65","06","VEHICLE NON-COMMERCIAL"
"3787",3801,2018-03-02 20:57:00,"048XX W NORTH AVE","0860","RETAIL THEFT","Yes","No","2533","025","37",2018,41.909614875,-87.747016581,2018-03-02,"20","Friday","AVE","THEFT","25","06","GROCERY FOOD STORE"
"3788",3802,2018-08-06 10:00:00,"002XX W NORTH AVE","1150","CREDIT CARD FRAUD","No","No","1821","018","27",2018,41.911155937,-87.635404942,2018-08-06,"10","Monday","AVE","DECEPTIVE PRACTICE","8","11","APARTMENT"
"3789",3803,2018-09-05 00:27:00,"033XX W 30TH ST","4625","PAROLE VIOLATION","Yes","No","1032","010","22",2018,41.839008724,-87.70762462,2018-09-05,"0","Wednesday","ST","OTHER OFFENSE","30","26","STREET"
"3790",3804,2018-05-15 14:50:00,"027XX W FULLERTON AVE","0810","OVER $500","No","No","1431","014","1",2018,41.92482076,-87.69604583,2018-05-15,"14","Tuesday","AVE","THEFT","22","06","STREET"
"3791",3805,2018-06-14 03:51:00,"027XX N CENTRAL AVE","0610","FORCIBLE ENTRY","Yes","No","2514","025","30",2018,41.929680945,-87.766188771,2018-06-14,"3","Thursday","AVE","BURGLARY","19","05","RESTAURANT"
"3792",3806,2018-05-15 08:30:00,"085XX S BENNETT AVE","0560","SIMPLE","No","Yes","0412","004","8",2018,41.740150102,-87.57820179,2018-05-15,"8","Tuesday","AVE","ASSAULT","45","08A","APARTMENT"
"3793",3807,2018-11-03 13:45:00,"006XX N ST CLAIR ST","0890","FROM BUILDING","No","No","1834","018","42",2018,41.894563504,-87.622745105,2018-11-03,"13","Saturday","ST","THEFT","8","06","RESTAURANT"
"3794",3808,2018-07-14 12:30:00,"034XX W 71ST ST","0610","FORCIBLE ENTRY","No","No","0831","008","18",2018,41.764297536,-87.708490331,2018-07-14,"12","Saturday","ST","BURGLARY","66","05","RESIDENCE"
"3795",3809,2018-11-09 11:20:00,"009XX W MADISON ST","0560","SIMPLE","No","No","1224","012","25",2018,41.881732151,-87.649991662,2018-11-09,"11","Friday","ST","ASSAULT","28","08A","STREET"
"3796",3810,2018-06-02 16:30:00,"012XX N PINE AVE","2826","HARASSMENT BY ELECTRONIC MEANS","No","No","2532","025","37",2018,41.903357751,-87.763868751,2018-06-02,"16","Saturday","AVE","OTHER OFFENSE","25","26","RESIDENCE"
"3797",3811,2018-04-26 14:00:00,"031XX W MADISON ST","5002","OTHER VEHICLE OFFENSE","No","Yes","1124","011","28",2018,41.880991939,-87.704394994,2018-04-26,"14","Thursday","ST","OTHER OFFENSE","27","26","STREET"
"3798",3812,2018-10-08 01:00:00,"018XX S KARLOV AVE","031A","ARMED: HANDGUN","No","No","1012","010","24",2018,41.855749808,-87.72727224,2018-10-08,"1","Monday","AVE","ROBBERY","29","03","ALLEY"
"3799",3813,2018-08-05 04:38:00,"016XX N LECLAIRE AVE","0110","FIRST DEGREE MURDER","No","No","2533","025","37",2018,41.909909727,-87.752656847,2018-08-05,"4","Sunday","AVE","HOMICIDE","25","01A","STREET"
"3800",3814,2018-05-13 02:54:00,"016XX W 63RD ST","1812","POSS: CANNABIS MORE THAN 30GMS","Yes","No","0714","007","15",2018,41.779429209,-87.665967873,2018-05-13,"2","Sunday","ST","NARCOTICS","67","18","STREET"
"3801",3815,2018-07-14 12:00:00,"042XX S DR MARTIN LUTHER KING JR DR","0820","$500 AND UNDER","No","No","0213","002","3",2018,41.817177077,-87.616807193,2018-07-14,"12","Saturday","DR","THEFT","38","06","STREET"
"3802",3816,2018-07-27 17:00:00,"046XX N MENARD AVE","0620","UNLAWFUL ENTRY","No","No","1622","016","45",2018,41.965352869,-87.772296206,2018-07-27,"17","Friday","AVE","BURGLARY","15","05","SCHOOL, PUBLIC, BUILDING"
"3803",3817,2018-05-16 15:09:00,"056XX W ROOSEVELT RD","0860","RETAIL THEFT","No","No","1513","015","29",2018,41.865572356,-87.766120589,2018-05-16,"15","Wednesday","RD","THEFT","25","06","GROCERY FOOD STORE"
"3804",3818,2018-05-27 19:00:00,"013XX S KARLOV AVE","0486","DOMESTIC BATTERY SIMPLE","No","Yes","1011","010","24",2018,41.863311568,-87.727523894,2018-05-27,"19","Sunday","AVE","BATTERY","29","08B","RESIDENCE PORCH/HALLWAY"
"3805",3819,2018-08-27 18:34:00,"007XX N MICHIGAN AVE","0860","RETAIL THEFT","Yes","No","1834","018","42",2018,41.895140898,-87.624255632,2018-08-27,"18","Monday","AVE","THEFT","8","06","DEPARTMENT STORE"
"3806",3820,2018-03-19 05:00:00,"094XX S LOOMIS ST","0486","DOMESTIC BATTERY SIMPLE","No","Yes","2222","022","21",2018,41.722160157,-87.657835334,2018-03-19,"5","Monday","ST","BATTERY","73","08B","APARTMENT"
"3807",3821,2018-07-23 18:56:00,"100XX W OHARE ST","0890","FROM BUILDING","No","No","1651","016","41",2018,41.976290414,-87.905227221,2018-07-23,"18","Monday","ST","THEFT","76","06","AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA"
"3808",3822,2018-06-01 07:00:00,"037XX W AGATITE AVE","0820","$500 AND UNDER","No","No","1723","017","39",2018,41.961933001,-87.721674721,2018-06-01,"7","Friday","AVE","THEFT","14","06","STREET"
"3809",3823,2018-10-06 11:20:00,"033XX N WHIPPLE ST","0560","SIMPLE","No","Yes","1733","017","33",2018,41.941950292,-87.704024179,2018-10-06,"11","Saturday","ST","ASSAULT","21","08A","RESIDENCE"
"3810",3824,2018-02-16 00:48:00,"017XX W BEACH AVE","041A","AGGRAVATED: HANDGUN","No","No","1433","014","1",2018,41.907553238,-87.671640781,2018-02-16,"0","Friday","AVE","BATTERY","24","04B","STREET"
"3811",3825,2018-09-01 15:00:00,"043XX S EVANS AVE","051A","AGGRAVATED: HANDGUN","No","No","0221","002","4",2018,41.815922152,-87.607936276,2018-09-01,"15","Saturday","AVE","ASSAULT","38","04A","VEHICLE NON-COMMERCIAL"
"3812",3826,2018-04-16 11:00:00,"041XX N KEELER AVE","0810","OVER $500","No","No","1722","017","38",2018,41.955873534,-87.732541406,2018-04-16,"11","Monday","AVE","THEFT","16","06","STREET"
"3813",3827,2018-10-29 07:00:00,"022XX N CAMPBELL AVE","0820","$500 AND UNDER","No","No","1431","014","1",2018,41.92194288,-87.689306056,2018-10-29,"7","Monday","AVE","THEFT","22","06","STREET"
"3814",3828,2018-02-23 11:30:00,"066XX N BOSWORTH AVE","0460","SIMPLE","No","No","2432","024","40",2018,42.002478396,-87.66929687,2018-02-23,"11","Friday","AVE","BATTERY","1","08B","SCHOOL, PUBLIC, BUILDING"
"3815",3829,2018-12-07 20:59:00,"078XX S WESTERN AVE","0486","DOMESTIC BATTERY SIMPLE","No","Yes","0835","008","18",2018,41.750560005,-87.682860733,2018-12-07,"20","Friday","AVE","BATTERY","70","08B","STREET"
"3816",3830,2018-04-22 17:33:00,"0000X S MICHIGAN AVE","0870","POCKET-PICKING","No","No","0114","001","42",2018,41.881735913,-87.624356122,2018-04-22,"17","Sunday","AVE","THEFT","32","06","CTA BUS"
"3817",3831,2018-08-31 23:30:00,"035XX W ARMITAGE AVE","0320","STRONGARM - NO WEAPON","No","No","1413","014","26",2018,41.917291808,-87.715855006,2018-08-31,"23","Friday","AVE","ROBBERY","22","03","STREET"
"3818",3832,2018-02-08 19:55:00,"029XX N LINCOLN AVE","0910","AUTOMOBILE","No","No","1933","019","32",2018,41.934837384,-87.661895114,2018-02-08,"19","Thursday","AVE","MOTOR VEHICLE THEFT","6","07","STREET"
"3819",3833,2018-08-07 11:00:00,"013XX S KEDZIE AVE","2825","HARASSMENT BY TELEPHONE","No","No","1022","010","24",2018,41.863783818,-87.705595265,2018-08-07,"11","Tuesday","AVE","OTHER OFFENSE","29","26","RESIDENCE"
"3820",3834,2018-08-23 20:09:00,"046XX W NORTH AVE","0860","RETAIL THEFT","No","No","2533","025","37",2018,41.909664252,-87.742728815,2018-08-23,"20","Thursday","AVE","THEFT","25","06","DEPARTMENT STORE"
"3821",3835,2018-12-03 23:49:00,"104XX S MICHIGAN AVE","3731","OBSTRUCTING IDENTIFICATION","Yes","No","0512","005","9",2018,41.70399846,-87.620617627,2018-12-03,"23","Monday","AVE","INTERFERENCE WITH PUBLIC OFFICER","49","24","STREET"
"3822",3836,2018-12-16 21:00:00,"029XX W FARGO AVE","0810","OVER $500","No","No","2411","024","50",2018,42.016534496,-87.702947151,2018-12-16,"21","Sunday","AVE","THEFT","2","06","STREET"
"3823",3837,2018-06-03 02:15:00,"018XX E 67TH ST","0486","DOMESTIC BATTERY SIMPLE","No","Yes","0331","003","5",2018,41.773394376,-87.581107701,2018-06-03,"2","Sunday","ST","BATTERY","42","08B","SIDEWALK"
"3824",3838,2018-08-08 16:04:00,"002XX S STATE ST","0860","RETAIL THEFT","No","No","0113","001","42",2018,41.879069903,-87.627701434,2018-08-08,"16","Wednesday","ST","THEFT","32","06","DEPARTMENT STORE"
"3825",3839,2018-09-14 18:05:00,"083XX S BAKER AVE","1310","TO PROPERTY","No","No","0424","004","7",2018,41.74261948,-87.549042178,2018-09-14,"18","Friday","AVE","CRIMINAL DAMAGE","46","14","ALLEY"
"3826",3840,2018-08-05 02:30:00,"003XX W NORTH AVE","0810","OVER $500","No","No","1821","018","27",2018,41.911120602,-87.638175421,2018-08-05,"2","Sunday","AVE","THEFT","8","06","STREET"
"3827",3841,2018-03-07 09:00:00,"005XX S CLINTON ST","0810","OVER $500","No","No","0124","001","2",2018,41.875070002,-87.640974928,2018-03-07,"9","Wednesday","ST","THEFT","28","06","SMALL RETAIL STORE"
"3828",3842,2018-01-23 18:15:00,"027XX S CALIFORNIA BLVD","0820","$500 AND UNDER","No","No","1034","010","12",2018,41.842803741,-87.694606999,2018-01-23,"18","Tuesday","BLVD","THEFT","30","06","STREET"
"3829",3843,2018-10-09 12:00:00,"076XX S KINGSTON AVE","0610","FORCIBLE ENTRY","No","No","0421","004","7",2018,41.756765393,-87.562690836,2018-10-09,"12","Tuesday","AVE","BURGLARY","43","05","RESIDENCE"
"3830",3844,2018-07-26 09:55:00,"009XX W ARMITAGE AVE","1310","TO PROPERTY","No","No","1812","018","43",2018,41.918116346,-87.652491607,2018-07-26,"9","Thursday","AVE","CRIMINAL DAMAGE","7","14","CONVENIENCE STORE"
"3831",3845,2018-12-27 21:00:00,"074XX S EMERALD AVE","2820","TELEPHONE THREAT","No","Yes","0732","007","6",2018,41.759323498,-87.643041519,2018-12-27,"21","Thursday","AVE","OTHER OFFENSE","68","26","APARTMENT"
"3832",3846,2018-11-25 22:40:00,"061XX N FRANCISCO AVE","1310","TO PROPERTY","No","No","2413","024","50",2018,41.992868393,-87.701907951,2018-11-25,"22","Sunday","AVE","CRIMINAL DAMAGE","2","14","APARTMENT"
"3833",3847,2018-05-23 13:00:00,"046XX S SPAULDING AVE","0430","AGGRAVATED: OTHER DANG WEAPON","No","No","0821","008","14",2018,41.809064906,-87.706426875,2018-05-23,"13","Wednesday","AVE","BATTERY","58","04B","ALLEY"
"3834",3848,2018-11-29 14:00:00,"048XX W LAKE ST","0910","AUTOMOBILE","No","No","1532","015","28",2018,41.886695654,-87.746612888,2018-11-29,"14","Thursday","ST","MOTOR VEHICLE THEFT","25","07","STREET"
"3835",3849,2018-10-22 22:00:00,"047XX W WASHINGTON BLVD","1320","TO VEHICLE","No","No","1113","011","28",2018,41.881833031,-87.743969328,2018-10-22,"22","Monday","BLVD","CRIMINAL DAMAGE","25","14","STREET"
"3836",3850,2018-08-02 09:40:00,"052XX S DREXEL AVE","0810","OVER $500","No","No","0233","002","5",2018,41.799875696,-87.603928993,2018-08-02,"9","Thursday","AVE","THEFT","41","06","APARTMENT"
"3837",3851,2018-05-16 08:00:00,"030XX W 41ST ST","2826","HARASSMENT BY ELECTRONIC MEANS","No","No","0921","009","14",2018,41.819064175,-87.700261488,2018-05-16,"8","Wednesday","ST","OTHER OFFENSE","58","26","OTHER"
"3838",3852,2018-03-20 18:28:00,"110XX S HALSTED ST","1330","TO LAND","Yes","No","2233","022","34",2018,41.693258507,-87.642408263,2018-03-20,"18","Tuesday","ST","CRIMINAL TRESPASS","75","26","RESTAURANT"
"3839",3853,2018-01-20 12:30:00,"040XX W GRAND AVE","0890","FROM BUILDING","No","No","2534","025","30",2018,41.90683577,-87.728130174,2018-01-20,"12","Saturday","AVE","THEFT","23","06","OTHER"
"3840",3854,2018-08-02 19:20:00,"090XX S PHILLIPS AVE","051A","AGGRAVATED: HANDGUN","No","No","0423","004","7",2018,41.73127837,-87.564636843,2018-08-02,"19","Thursday","AVE","ASSAULT","48","04A","STREET"
"3841",3855,2018-09-27 14:00:00,"025XX N CLARK ST","0890","FROM BUILDING","No","No","1935","019","43",2018,41.928620632,-87.642285052,2018-09-27,"14","Thursday","ST","THEFT","7","06","RESTAURANT"
